Sample_ID,Biosensor_Type,Pathogen_ID,Pathogen_Class,Microbial_Signature,Signal_Quality,Normalized_Data,Classification_Label
sample_0305,Optical,pathogen_0305,Fungi,"[0.721133505465458, 0.44437104785838866, 0.5907862586402212]",1,"[1.0, 0.6162119004185889, 0.8192467194530038]",Penicillium
sample_0306,Mass-based,pathogen_0306,Fungi,"[0.3610077842913941, 0.7088754411536748, 0.4204662328253419]",1,"[0.5092682907787919, 1.0, 0.5931454362998455]",Candida
sample_0307,Electrochemical,pathogen_0307,Fungi,"[0.6975237109474862, 0.47912435310794255, 0.4869922437816841]",0,"[1.0, 0.6868932848994059, 0.6981730314517549]",Penicillium
sample_0308,Electrochemical,pathogen_0308,Bacteria,"[0.5286194706044883, 0.514508973930382, 0.3574356229320559]",1,"[1.0, 0.97330689189717, 0.676168099754858]",E. coli
sample_0309,Optical,pathogen_0309,Bacteria,"[0.3743930227011786, 0.2723771247935266, 0.48554463088125743]",0,"[0.771078493900056, 0.5609723750814947, 1.0]",Salmonella
sample_0310,Electrochemical,pathogen_0310,Bacteria,"[0.32359404079761567, 0.5841750580032421, 0.4590563570998066]",1,"[0.5539333396117363, 1.0, 0.7858198511057602]",E. coli
sample_0311,Electrochemical,pathogen_0311,Fungi,"[0.5699681354545659, 0.46814972178647535, 0.5944015212991978]",1,"[0.9588941397874837, 0.7875984583000885, 1.0]",Candida
sample_0312,Mass-based,pathogen_0312,Virus,"[0.8529145733485781, 0.6388506541602434, 0.8621856218321831]",1,"[0.9892470388639705, 0.7409664902583938, 1.0]",Hepatitis
sample_0313,Optical,pathogen_0313,Bacteria,"[0.5613991178619148, 0.788918444073235, 0.3650844746482168]",1,"[0.7116060247791599, 1.0, 0.46276579967285714]",E. coli
sample_0314,Electrochemical,pathogen_0314,Virus,"[0.5934093575710354, 0.5213161875316118, 0.5319059440421134]",1,"[1.0, 0.8785102238115725, 0.8963558414705998]",Hepatitis
sample_0315,Optical,pathogen_0315,Fungi,"[0.44525152012772806, -0.06328974391283132, 0.17315814429328502]",1,"[1.0, -0.14214380199011015, 0.38889961396114187]",Penicillium
sample_0316,Mass-based,pathogen_0316,Fungi,"[0.7470600937906758, 0.591652776374398, 0.6192525855657289]",1,"[1.0, 0.7919748107174058, 0.828919374375312]",Aspergillus
sample_0317,Optical,pathogen_0317,Virus,"[0.3576905882129616, 0.5910046178459529, 0.41984634959902295]",1,"[0.6052246926879253, 1.0, 0.7103943639717163]",Hepatitis
sample_0318,Mass-based,pathogen_0318,Virus,"[0.8128899023200029, 0.750247088935566, 0.6583128493110683]",1,"[1.0, 0.9229381331891894, 0.8098425720780036]",HIV
sample_0319,Mass-based,pathogen_0319,Bacteria,"[0.5292832264282706, 0.7889429535495964, 0.6896284752432119]",1,"[0.6708764227463216, 1.0, 0.8741170348761583]",Salmonella
sample_0320,Mass-based,pathogen_0320,Virus,"[0.5546675556698725, 0.6578532929977711, 0.8265999440934919]",1,"[0.6710229774793419, 0.7958545094256202, 1.0]",Hepatitis
sample_0321,Mass-based,pathogen_0321,Fungi,"[0.6725699896059516, 0.7061685541151134, 0.2046302852597322]",1,"[0.9524213244651435, 1.0, 0.28977541419434993]",Penicillium
sample_0322,Electrochemical,pathogen_0322,Virus,"[0.4117832496140412, 0.6920550713812983, 0.4762767923074821]",1,"[0.5950151463988954, 1.0, 0.6882064910771677]",Influenza
sample_0323,Electrochemical,pathogen_0323,Bacteria,"[0.46647392811689276, 0.6120028341436712, 0.6156015431705256]",1,"[0.7577530194521889, 0.9941541585352108, 1.0]",L. monocytogenes
sample_0324,Mass-based,pathogen_0324,Virus,"[0.4444935089657084, 0.8167190048013631, 0.7231857487555163]",1,"[0.5442428869079826, 1.0, 0.8854768218983771]",Influenza
sample_0325,Electrochemical,pathogen_0325,Bacteria,"[0.4840478287135591, 0.5294364890674113, 0.6693934225749826]",1,"[0.7231141095643768, 0.7909197658841741, 1.0]",E. coli
sample_0326,Mass-based,pathogen_0326,Fungi,"[0.8550845758815305, 0.21549641411743714, 0.7281812513977948]",1,"[1.0, 0.2520176602358613, 0.8515897397015874]",Aspergillus
sample_0327,Electrochemical,pathogen_0327,Fungi,"[0.7735479470725568, 0.5824412378400461, 0.39527510260127385]",1,"[1.0, 0.7529478166728488, 0.5109897894463652]",Candida
sample_0328,Mass-based,pathogen_0328,Bacteria,"[0.4108055522097941, 0.559803688436731, 0.6164082035599582]",1,"[0.6664504947164204, 0.9081704059155643, 1.0]",E. coli
sample_0329,Electrochemical,pathogen_0329,Fungi,"[0.4888741565686908, 0.401973844159103, 0.4338599912691469]",0,"[1.0, 0.8222440044294351, 0.8874676344405742]",Penicillium
sample_0330,Electrochemical,pathogen_0330,Bacteria,"[0.4787846446741833, 0.5442482511818105, 0.3965260519279296]",1,"[0.879717378300296, 1.0, 0.7285757024793211]",E. coli
sample_0331,Mass-based,pathogen_0331,Fungi,"[0.6130763917626739, 0.7640318848011738, 0.5380214692238997]",1,"[0.802422521832602, 1.0, 0.7041871941822304]",Candida
sample_0332,Electrochemical,pathogen_0332,Bacteria,"[0.4079948725183872, 0.49514661878028277, 0.6690766021213974]",1,"[0.6097879842529009, 0.7400447380918026, 1.0]",L. monocytogenes
sample_0333,Mass-based,pathogen_0333,Fungi,"[0.7731393892807049, 0.6591046555340253, 0.4087309428098068]",1,"[1.0, 0.8525043021637113, 0.5286639750563895]",Aspergillus
sample_0334,Mass-based,pathogen_0334,Virus,"[0.5306141095761947, 0.6655701147945243, 0.31860172659022196]",1,"[0.7972324745079736, 1.0, 0.4786899524306032]",HIV
sample_0335,Optical,pathogen_0335,Bacteria,"[0.46676860910501633, 0.2593321197642974, 0.4130675165847518]",1,"[1.0, 0.555590317569859, 0.8849513624679449]",L. monocytogenes
sample_0336,Mass-based,pathogen_0336,Virus,"[0.43286429981200975, 0.6742596662689601, 0.3043154753390591]",0,"[0.6419845668765564, 1.0, 0.4513327588212412]",Hepatitis
sample_0337,Electrochemical,pathogen_0337,Bacteria,"[0.5670529914436927, 0.388338348394147, 0.5391609655183072]",1,"[1.0, 0.6848360810256096, 0.950812311466035]",Salmonella
sample_0338,Optical,pathogen_0338,Fungi,"[0.5444019007222701, 0.43045806824531896, 0.013092848147636116]",1,"[1.0, 0.7906990546400016, 0.02404996773572161]",Candida
sample_0339,Electrochemical,pathogen_0339,Virus,"[0.3225191516945193, 0.42804186238305936, 0.40516271250950825]",1,"[0.7534757229093012, 1.0, 0.9465492703303017]",Hepatitis
sample_0340,Electrochemical,pathogen_0340,Virus,"[0.5303421048268238, 0.49782692818267554, 0.4995646503775977]",1,"[1.0, 0.9386901844145193, 0.9419667905506465]",Influenza
sample_0341,Mass-based,pathogen_0341,Virus,"[0.49993832398337945, 0.7386811847589726, 0.7003459457451909]",1,"[0.6767985083395707, 1.0, 0.9481031332532313]",Hepatitis
sample_0342,Mass-based,pathogen_0342,Virus,"[0.5736536707424196, 0.8097743081141403, 0.2581152755288567]",1,"[0.7084117944892384, 1.0, 0.31874964782468074]",Hepatitis
sample_0343,Mass-based,pathogen_0343,Virus,"[0.6921733768883314, 0.6636296591976026, 0.6422317442136941]",1,"[1.0, 0.9587621849614513, 0.9278480878603709]",Influenza
sample_0344,Mass-based,pathogen_0344,Virus,"[0.4427647598814324, 0.7308929427592165, 0.43534256505862556]",1,"[0.6057860652066738, 1.0, 0.5956310966899618]",HIV
sample_0345,Electrochemical,pathogen_0345,Virus,"[0.763117626868335, 0.40618479133479524, 0.45244858905430396]",1,"[1.0, 0.5322702254981153, 0.5928949523955466]",Influenza
sample_0346,Mass-based,pathogen_0346,Fungi,"[0.5625380805620038, 0.570296442945236, 0.5937159968087278]",1,"[0.9474868179157917, 0.9605542818630897, 1.0]",Aspergillus
sample_0347,Mass-based,pathogen_0347,Fungi,"[0.6958225934527194, 0.6692280014533629, 0.793682448842079]",1,"[0.8767015000367848, 0.843193650596299, 1.0]",Candida
sample_0348,Electrochemical,pathogen_0348,Virus,"[0.48704342800920675, 0.5095335612233818, 0.47851906582184117]",1,"[0.9558613309785197, 1.0, 0.9391315945370207]",Hepatitis
sample_0349,Electrochemical,pathogen_0349,Virus,"[0.34436094207593243, 0.48121535870226406, 0.6076891888033386]",1,"[0.5666728130445235, 0.7918774392710084, 1.0]",Influenza
sample_0350,Optical,pathogen_0350,Fungi,"[0.6610873517380756, 0.13055505211585194, 0.3487013026888054]",0,"[1.0, 0.19748532742701477, 0.5274663049777447]",Penicillium
sample_0351,Mass-based,pathogen_0351,Bacteria,"[0.7384463450548766, 0.5877858643234065, 0.5494131062429818]",1,"[1.0, 0.795976401345349, 0.7440122223127165]",Salmonella
sample_0352,Electrochemical,pathogen_0352,Bacteria,"[0.46920315334414486, 0.47874418730198814, 0.5895888395583545]",1,"[0.7958141705932097, 0.8119966918990577, 1.0]",E. coli
sample_0353,Electrochemical,pathogen_0353,Fungi,"[0.7363805838776849, 0.5573759400447613, 0.48440216768483285]",1,"[1.0, 0.7569128684921209, 0.6578149645581822]",Candida
sample_0354,Optical,pathogen_0354,Bacteria,"[0.46412761589084595, 0.1526593885821257, 0.4102126166936807]",1,"[1.0, 0.3289168395832501, 0.8838358301656305]",Salmonella
sample_0355,Electrochemical,pathogen_0355,Bacteria,"[0.6942271559557684, 0.6014731019680397, 0.41836515097223664]",1,"[1.0, 0.8663923570376172, 0.6026343789393512]",L. monocytogenes
sample_0356,Mass-based,pathogen_0356,Fungi,"[0.6929145291603763, 0.643002453959787, 0.5374383238713234]",1,"[1.0, 0.9279679194184755, 0.775619937602625]",Aspergillus
sample_0357,Optical,pathogen_0357,Virus,"[0.4750599402635901, 0.497727224893423, 0.4151101528418341]",1,"[0.9544584191980123, 1.0, 0.8340113461358689]",Influenza
sample_0358,Mass-based,pathogen_0358,Virus,"[0.7942420679196114, 0.4385499036987278, 0.7684559246973826]",1,"[1.0, 0.5521615152511857, 0.9675336471539824]",Influenza
sample_0359,Mass-based,pathogen_0359,Virus,"[0.7803656315156556, 0.710214947122055, 0.8093815875342044]",1,"[0.9641504619508996, 0.8774785071226263, 1.0]",Influenza
sample_0360,Optical,pathogen_0360,Virus,"[0.7816880810017763, 0.08021412771984332, 0.38341288369281995]",1,"[1.0, 0.1026165419038301, 0.4904934500235122]",Hepatitis
sample_0361,Electrochemical,pathogen_0361,Virus,"[0.3411441893318532, 0.5059395611048377, 0.6710335888145346]",1,"[0.5083861598262576, 0.7539705456453286, 1.0]",HIV
sample_0362,Optical,pathogen_0362,Fungi,"[0.5995412172116352, 0.45319592994213503, 0.5411490221857417]",0,"[1.0, 0.7559045432270238, 0.9026052031960943]",Candida
sample_0363,Optical,pathogen_0363,Virus,"[0.2692590947319512, 0.21544778770779505, 0.32852185050055893]",0,"[0.8196078718103199, 0.6558096132099697, 1.0]",Hepatitis
sample_0364,Optical,pathogen_0364,Virus,"[0.6267752932616988, 0.9216957258732346, 0.5367255527292492]",1,"[0.6800240856795535, 1.0, 0.5823240117781209]",HIV
sample_0365,Optical,pathogen_0365,Bacteria,"[0.13284032092626208, 0.16281978066708094, 0.6248294074774935]",1,"[0.2126025429285625, 0.26058277462388124, 1.0]",E. coli
sample_0366,Mass-based,pathogen_0366,Virus,"[0.5465762779597844, 0.6391787320203269, 0.8591047188343727]",1,"[0.6362161282286696, 0.7440056118974183, 1.0]",Influenza
sample_0367,Mass-based,pathogen_0367,Virus,"[0.494645890508729, 0.3815355082388271, 0.7762208057611769]",1,"[0.637248946224354, 0.4915296078216895, 1.0]",Hepatitis
sample_0368,Optical,pathogen_0368,Fungi,"[0.5962353392835578, 0.1546781979288567, 0.5049110068072744]",1,"[1.0, 0.25942474009460686, 0.8468317349554967]",Penicillium
sample_0369,Mass-based,pathogen_0369,Virus,"[0.5742895858611168, 0.4190375336537906, 0.5761925679711208]",1,"[0.996697315765969, 0.7272525835057162, 1.0]",HIV
sample_0370,Electrochemical,pathogen_0370,Virus,"[0.487877149769216, 0.4545515459408473, 0.5807719635039307]",1,"[0.8400494177193766, 0.7826678533144634, 1.0]",HIV
sample_0371,Optical,pathogen_0371,Virus,"[0.4318642675212405, 0.4819997620163856, 0.43594221114660636]",1,"[0.8959843998980217, 1.0, 0.9044448680283508]",HIV
sample_0372,Mass-based,pathogen_0372,Virus,"[0.5996023710591865, 0.6910901913611944, 0.7358024159438269]",1,"[0.8148958987720444, 0.9392333816609187, 1.0]",Hepatitis
sample_0373,Mass-based,pathogen_0373,Bacteria,"[0.38202159848492934, 0.6188602846319697, 0.7566389688111431]",1,"[0.5048928408817942, 0.8179069677105636, 1.0]",E. coli
sample_0374,Optical,pathogen_0374,Fungi,"[0.6382649276304665, 0.38548317322152365, 0.5764297162669283]",1,"[1.0, 0.6039548101955324, 0.9031198352178006]",Aspergillus
sample_0375,Mass-based,pathogen_0375,Fungi,"[0.699977734902125, 0.7158523319792112, 0.8695626320461369]",1,"[0.8049767884517212, 0.8232326293676678, 1.0]",Candida
sample_0376,Mass-based,pathogen_0376,Virus,"[0.581649304221491, 0.5586517979754642, 0.49073245466197096]",1,"[1.0, 0.960461559776457, 0.8436912949097262]",Hepatitis
sample_0377,Mass-based,pathogen_0377,Bacteria,"[0.620355067701747, 0.5306962823785123, 0.4144244385655189]",1,"[1.0, 0.8554718257474756, 0.6680439318418933]",E. coli
sample_0378,Optical,pathogen_0378,Bacteria,"[0.4151904002020554, 0.4073295394574839, 0.42764207828750395]",1,"[0.9708829445986433, 0.9525010754054845, 1.0]",L. monocytogenes
sample_0379,Electrochemical,pathogen_0379,Virus,"[0.5808768449372561, 0.5656412087272218, 0.4604373829208604]",1,"[1.0, 0.9737713142762989, 0.7926592132805619]",Influenza
sample_0380,Mass-based,pathogen_0380,Fungi,"[0.4352071517298511, 0.6787641626661035, 0.5826069745775957]",1,"[0.6411757951692825, 1.0, 0.8583349072072191]",Penicillium
sample_0381,Mass-based,pathogen_0381,Bacteria,"[0.598753124290626, 0.7392534126357955, 0.6573967937096775]",1,"[0.8099429966184152, 1.0, 0.8892712329399204]",Salmonella
sample_0382,Electrochemical,pathogen_0382,Virus,"[0.47038911430449953, 0.6604159644438801, 0.6094039084374392]",0,"[0.7122618768015436, 1.0, 0.92275768795293]",HIV
sample_0383,Optical,pathogen_0383,Bacteria,"[0.23307278447835147, 0.37632355365220876, 0.9017721983793452]",1,"[0.25846082291872297, 0.41731554191683135, 1.0]",E. coli
sample_0384,Optical,pathogen_0384,Virus,"[0.5438700643864423, 0.5042910459171782, 0.23388799007656422]",1,"[1.0, 0.9272270693664406, 0.4300438751679061]",Hepatitis
sample_0385,Optical,pathogen_0385,Virus,"[0.26455113606782343, 0.2503995973764065, 0.38408307883448795]",1,"[0.6887862304963085, 0.6519412366101934, 1.0]",Influenza
sample_0386,Electrochemical,pathogen_0386,Virus,"[0.597849130009754, 0.6570853104561336, 0.5875004332367515]",1,"[0.9098500917555756, 1.0, 0.8941006957360257]",Influenza
sample_0387,Electrochemical,pathogen_0387,Fungi,"[0.43486161505175513, 0.44195315395915064, 0.37850306129845723]",1,"[0.983954093677424, 1.0, 0.8564325379459605]",Candida
sample_0388,Mass-based,pathogen_0388,Virus,"[0.61964438936409, 0.551868342965649, 0.5455722276461635]",1,"[1.0, 0.8906210601406458, 0.880460207516858]",Influenza
sample_0389,Mass-based,pathogen_0389,Virus,"[0.7969642181564186, 0.4974116087201529, 0.5728397161337494]",1,"[1.0, 0.6241329251528918, 0.7187772086667501]",HIV
sample_0390,Mass-based,pathogen_0390,Bacteria,"[0.5188773935044769, 0.6443317051775961, 0.596772938428652]",1,"[0.8052954547090921, 1.0, 0.9261890011514557]",L. monocytogenes
sample_0391,Mass-based,pathogen_0391,Virus,"[0.5818604601140589, 0.717833744633029, 0.41023089047877415]",1,"[0.8105783051638478, 1.0, 0.5714845443613025]",Influenza
sample_0392,Optical,pathogen_0392,Virus,"[0.2810318380787318, 0.27173523084425955, 0.3756049655053968]",1,"[0.7482111896486465, 0.7234601663974946, 1.0]",HIV
sample_0393,Electrochemical,pathogen_0393,Bacteria,"[0.5014541067167201, 0.49019006895501316, 0.795934461677755]",1,"[0.6300193431249377, 0.6158673767206142, 1.0]",E. coli
sample_0394,Mass-based,pathogen_0394,Fungi,"[0.4361030929484322, 0.5442216528319574, 0.7811569254284674]",1,"[0.5582784697315819, 0.6966867157113789, 1.0]",Candida
sample_0395,Mass-based,pathogen_0395,Fungi,"[0.512439723557258, 0.7402119949699404, 0.5633218324190834]",1,"[0.6922877865253559, 1.0, 0.7610277005062037]",Aspergillus
sample_0396,Mass-based,pathogen_0396,Virus,"[0.6298252928151944, 0.6104216500494783, 0.4549746477098412]",1,"[1.0, 0.9691920235864367, 0.7223823064904151]",HIV
sample_0397,Electrochemical,pathogen_0397,Fungi,"[0.3746333260257897, 0.6791827233017699, 0.461264941506347]",1,"[0.5515943105922251, 1.0, 0.6791470478871425]",Penicillium
sample_0398,Electrochemical,pathogen_0398,Virus,"[0.5178620228919202, 0.4694281421087851, 0.5239590718119856]",1,"[0.9883635015632418, 0.8959252112677073, 1.0]",HIV
sample_0399,Electrochemical,pathogen_0399,Bacteria,"[0.545121770731578, 0.4111500124231566, 0.5053736478704055]",0,"[1.0, 0.7542351718431182, 0.9270839562914013]",E. coli
sample_0400,Mass-based,pathogen_0400,Bacteria,"[0.31088643997422, 0.6080281619761472, 0.4919611369272153]",1,"[0.5113026984865481, 1.0, 0.8091091296302734]",Salmonella
sample_0401,Optical,pathogen_0401,Fungi,"[0.1406878714486572, 0.43062282162340887, 0.4672710830253906]",1,"[0.3010840528323737, 0.9215695926127097, 1.0]",Candida
sample_0402,Electrochemical,pathogen_0402,Virus,"[0.5032289234426365, 0.43757328147911434, 0.6031062977393465]",1,"[0.8343950731884489, 0.7255326019961856, 1.0]",HIV
sample_0403,Electrochemical,pathogen_0403,Fungi,"[0.5229467108563253, 0.44625432063541237, 0.3706409673516474]",1,"[1.0, 0.8533456877559683, 0.7087547538920798]",Candida
sample_0404,Mass-based,pathogen_0404,Bacteria,"[0.4507967029071661, 0.6865465089188155, 0.7806748619899225]",1,"[0.5774448811610196, 0.879426945000924, 1.0]",E. coli
sample_0405,Mass-based,pathogen_0405,Fungi,"[0.40346305799636795, 0.6727028627086853, 0.6220645585784506]",1,"[0.5997641460477745, 1.0, 0.9247241138140306]",Penicillium
sample_0406,Mass-based,pathogen_0406,Fungi,"[0.548522645069044, 0.6401591610374184, 0.5781172523457635]",1,"[0.856853542766034, 1.0, 0.9030836197187085]",Candida
sample_0407,Electrochemical,pathogen_0407,Virus,"[0.4480415144866669, 0.5817510365443476, 0.49437391924049773]",1,"[0.7701602340892644, 1.0, 0.8498032460365217]",HIV
sample_0408,Electrochemical,pathogen_0408,Virus,"[0.4198421739378425, 0.49072123305347476, 0.5491885592441613]",1,"[0.7644772762849685, 0.8935387032258025, 1.0]",HIV
sample_0409,Electrochemical,pathogen_0409,Virus,"[0.5203818428689193, 0.44308077133513823, 0.6582579154114879]",1,"[0.7905439960317378, 0.6731111938975487, 1.0]",Hepatitis
sample_0410,Optical,pathogen_0410,Fungi,"[0.7540433724349677, 0.34853953450456276, 0.6091492534810877]",1,"[1.0, 0.46222743577607994, 0.8078437869084563]",Aspergillus
sample_0411,Electrochemical,pathogen_0411,Virus,"[0.47956533310238314, 0.5459156831149147, 0.5844413084811201]",0,"[0.820553451891868, 0.93408127590035, 1.0]",Hepatitis
sample_0412,Electrochemical,pathogen_0412,Bacteria,"[0.4822811804808826, 0.5343898582624572, 0.4375707931800911]",1,"[0.9024893961292538, 1.0, 0.8188231614328]",Salmonella
sample_0413,Optical,pathogen_0413,Fungi,"[0.39600251196001346, 0.3551317543134904, 0.47218328914751084]",1,"[0.8386626995524648, 0.7521057235097252, 1.0]",Candida
sample_0414,Electrochemical,pathogen_0414,Fungi,"[0.4438952196209172, 0.6964337760973192, 0.5759977875773284]",1,"[0.6373832442596633, 1.0, 0.8270675652825301]",Penicillium
sample_0415,Mass-based,pathogen_0415,Fungi,"[0.5135964131195827, 0.3546589309419841, 0.6759656530370126]",1,"[0.7597966121681935, 0.5246700469891548, 1.0]",Aspergillus
sample_0416,Optical,pathogen_0416,Fungi,"[0.14638070923927332, -0.01992537451139037, 0.14433672807969972]",0,"[1.0, -0.136120221133923, 0.98603654012748]",Candida
sample_0417,Electrochemical,pathogen_0417,Fungi,"[0.577405267538465, 0.4811791809955018, 0.6548504745058541]",1,"[0.8817360451241503, 0.7347924445784306, 1.0]",Aspergillus
sample_0418,Mass-based,pathogen_0418,Fungi,"[0.7420662312912265, 0.6061407450135945, 0.4309158268507122]",1,"[1.0, 0.8168283630948737, 0.5806972594628117]",Candida
sample_0419,Optical,pathogen_0419,Fungi,"[0.5061361786812085, 0.7007624836327657, 0.2379882497587114]",1,"[0.722264947828527, 1.0, 0.33961328598097307]",Aspergillus
sample_0420,Optical,pathogen_0420,Fungi,"[0.5053727851825204, 0.47035937069358386, 0.6118731641348637]",1,"[0.8259437001082965, 0.7687203790978997, 1.0]",Aspergillus
sample_0421,Electrochemical,pathogen_0421,Fungi,"[0.36891190790016104, 0.5229385414624779, 0.6242774800026338]",1,"[0.5909422007319639, 0.837670039707778, 1.0]",Candida
sample_0422,Electrochemical,pathogen_0422,Bacteria,"[0.6871329575705903, 0.6779283344731188, 0.5836740177852116]",1,"[1.0, 0.986604305620829, 0.8494338851811656]",Salmonella
sample_0423,Electrochemical,pathogen_0423,Bacteria,"[0.4501788510462055, 0.5490037777206961, 0.626865959587616]",1,"[0.7181421229864767, 0.8757913383618061, 1.0]",L. monocytogenes
sample_0424,Optical,pathogen_0424,Virus,"[0.2981081724506147, 0.5717543198554412, 0.5002577998945165]",1,"[0.5213920771529745, 1.0, 0.8749523746860338]",Hepatitis
sample_0425,Electrochemical,pathogen_0425,Fungi,"[0.3613602173338496, 0.502332631473387, 0.43216894800842476]",1,"[0.7193644105379884, 1.0, 0.8603242571378136]",Aspergillus
sample_0426,Electrochemical,pathogen_0426,Fungi,"[0.7649807868428626, 0.42709798142301203, 0.4726557681124356]",1,"[1.0, 0.5583120370717803, 0.6178661951277549]",Penicillium
sample_0427,Optical,pathogen_0427,Virus,"[0.13724253671689673, 0.5303102125141169, -0.030949808835559367]",1,"[0.25879670705614277, 1.0, -0.058361706233849835]",Influenza
sample_0428,Optical,pathogen_0428,Fungi,"[0.16387094808584265, 0.40309576597195274, 0.2970249100101142]",0,"[0.40653105767735787, 1.0, 0.7368594142732353]",Aspergillus
sample_0429,Optical,pathogen_0429,Fungi,"[0.6189576015769653, 0.3034524337465607, 0.5170333657448444]",1,"[1.0, 0.4902636836084279, 0.8353292122555069]",Penicillium
sample_0430,Electrochemical,pathogen_0430,Bacteria,"[0.4926010949410445, 0.4881334531614526, 0.5327842377609954]",1,"[0.9245789571613099, 0.916193495537357, 1.0]",L. monocytogenes
sample_0431,Optical,pathogen_0431,Bacteria,"[0.3763825728052484, 0.4343681635492518, 0.5241127017710052]",1,"[0.7181328968625094, 0.8287686256820302, 1.0]",E. coli
sample_0432,Optical,pathogen_0432,Virus,"[0.1959396528520957, 0.3655838940192041, 0.025887984577096623]",1,"[0.5359635806105917, 1.0, 0.0708127053751901]",Influenza
sample_0433,Mass-based,pathogen_0433,Virus,"[0.6408250737183301, 0.5903973032303255, 0.6477210102420644]",1,"[0.9893535389238691, 0.911499386147261, 1.0]",Hepatitis
sample_0434,Electrochemical,pathogen_0434,Fungi,"[0.3786730623785375, 0.7975907044341009, 0.48532797235273983]",1,"[0.47477115803049647, 1.0, 0.6084925133337471]",Candida
sample_0435,Optical,pathogen_0435,Fungi,"[0.25058381366574056, 0.12912978830377875, 0.5527862554975038]",1,"[0.4533104996256046, 0.2335980444874897, 1.0]",Candida
sample_0436,Electrochemical,pathogen_0436,Fungi,"[0.661083219851449, 0.689091270258188, 0.5246837665276048]",1,"[0.959355093271977, 1.0, 0.7614140378400338]",Penicillium
sample_0437,Mass-based,pathogen_0437,Fungi,"[0.46778876103775213, 0.32375993590989693, 0.4533171415552911]",0,"[1.0, 0.6921071279943992, 0.9690637726089082]",Aspergillus
sample_0438,Electrochemical,pathogen_0438,Fungi,"[0.6469530654560729, 0.5564303685209365, 0.5651564986469714]",1,"[1.0, 0.860078417170306, 0.8735664591813339]",Candida
sample_0439,Mass-based,pathogen_0439,Fungi,"[0.5210280142779408, 0.21828460739501304, 0.6903941141096648]",1,"[0.754682005002115, 0.316173911297772, 1.0]",Candida
sample_0440,Mass-based,pathogen_0440,Fungi,"[0.5590212579924614, 0.4838040103297625, 0.7298749737300471]",1,"[0.7659137223674997, 0.6628587466936539, 1.0]",Penicillium
sample_0441,Mass-based,pathogen_0441,Fungi,"[0.46213937970087426, 0.6178703035800869, 0.6467101049168589]",1,"[0.7146005237698999, 0.9554053646023056, 1.0]",Candida
sample_0442,Optical,pathogen_0442,Bacteria,"[0.2984334018467243, 0.5050499811894668, 0.33528458371672165]",1,"[0.5908987485632013, 1.0, 0.6638641643487984]",L. monocytogenes
sample_0443,Electrochemical,pathogen_0443,Fungi,"[0.4073665922406508, 0.3903847135496524, 0.49908466860764467]",1,"[0.8162274216459692, 0.7822013740449183, 1.0]",Penicillium
sample_0444,Optical,pathogen_0444,Fungi,"[0.44232035319451557, 0.39918282441050296, 0.2186603350165239]",1,"[1.0, 0.9024744656842811, 0.49434834602866545]",Aspergillus
sample_0445,Mass-based,pathogen_0445,Virus,"[0.38434131378239733, 0.5409466379099988, 0.6772253845506925]",1,"[0.5675234900377958, 0.7987689922002726, 1.0]",Influenza
sample_0446,Electrochemical,pathogen_0446,Bacteria,"[0.4996913076307857, 0.3029712661979309, 0.28113705435472947]",1,"[1.0, 0.6063168631738373, 0.5626214626139893]",E. coli
sample_0447,Optical,pathogen_0447,Fungi,"[0.3277581563809444, 0.5897214819279822, 0.1676878206114787]",1,"[0.5557846651768585, 1.0, 0.28435087706701007]",Aspergillus
sample_0448,Mass-based,pathogen_0448,Virus,"[0.5746955459637265, 0.7552778326340286, 0.42409020163939537]",1,"[0.7609061475556326, 1.0, 0.5615022489940985]",Hepatitis
sample_0449,Optical,pathogen_0449,Fungi,"[0.1138849846448366, 0.42074000497346653, 0.3254088470223463]",1,"[0.27067781361085125, 1.0, 0.7734202670907603]",Candida
sample_0450,Electrochemical,pathogen_0450,Fungi,"[0.5884958677517369, 0.5497408940927002, 0.607575391873925]",1,"[0.9685972730670647, 0.904810993738822, 1.0]",Aspergillus
sample_0451,Electrochemical,pathogen_0451,Bacteria,"[0.4465365161718494, 0.2818847072450452, 0.4574640943154724]",1,"[0.9761127085613691, 0.6161897966371418, 1.0]",E. coli
sample_0452,Electrochemical,pathogen_0452,Virus,"[0.5822391890992186, 0.4662071266777528, 0.4283838618966674]",1,"[1.0, 0.8007140972407254, 0.7357523676127322]",Hepatitis
sample_0453,Optical,pathogen_0453,Virus,"[0.8381823897680629, 0.45452834054769425, 0.1889214930560162]",1,"[1.0, 0.5422785614399138, 0.2253942523276986]",Hepatitis
sample_0454,Optical,pathogen_0454,Bacteria,"[-0.006103872588849757, 0.4888201937593155, 0.4206862412833392]",1,"[-0.012486948507399781, 1.0, 0.8606155119084054]",L. monocytogenes
sample_0455,Optical,pathogen_0455,Bacteria,"[0.5360937042117665, 0.4732488766362295, 0.2355301564845955]",1,"[1.0, 0.8827726811902418, 0.43934512685781685]",E. coli
sample_0456,Mass-based,pathogen_0456,Fungi,"[0.5620963269816527, 0.5287705677066212, 0.8763302895444539]",0,"[0.6414206306549661, 0.603391864934275, 1.0]",Penicillium
sample_0457,Optical,pathogen_0457,Bacteria,"[0.0631069560316383, 0.6817587843435009, -0.005118972233125352]",1,"[0.0925649327605028, 1.0, -0.007508480052889472]",Salmonella
